Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Date,Delivery_Efficiency,Quarter,Production_Gap,Previous_Month_Deliveries,Estimated_Revenue
2023.0,5.0,Europe,Model S,1.962744306596076,1.7057521813329732,0.3959815539484866,120.0,704.0,1863.42,Interpolated (Month),12207.0,2023-05-01,1.1506620528324778,2,-0.25699212526310267,0.0007013188444578652,0.7772105405294589
2015.0,2.0,Asia,Model X,-1.5565136453183706,-1.523981576859612,-1.1283456721462235,75.0,438.0,249.46,Official (Quarter),7640.0,2015-02-01,1.0213467596673942,1,0.032532068458758445,1.962744306596076,1.7562854353315254
2019.0,1.0,North America,Model X,-0.3840205996014771,-0.3443470271490624,1.639209098020189,82.0,480.0,605.59,Interpolated (Month),14071.0,2019-01-01,1.115213924687785,1,0.03967357245241471,-1.5565136453183706,-0.6294900606939094
2021.0,2.0,North America,Model 3,-0.8556606283944018,-0.7852134319961095,0.2180760629288593,120.0,712.0,700.07,Official (Quarter),9333.0,2021-02-01,1.0897172584264216,1,0.07044719639829233,-0.3840205996014771,-0.18659910104348487
2016.0,12.0,Middle East,Model Y,0.6230426730851394,0.6763596439238668,1.4880846619017716,120.0,661.0,1226.88,Estimated (Region),8722.0,2016-12-01,0.921170679951554,4,0.05331697083872744,-0.8556606283944018,0.9271402455282757
2020.0,4.0,Asia,Model X,-1.3382276621647486,-1.3176335630893483,0.1005609013811678,82.0,477.0,333.14,Official (Quarter),5798.0,2020-04-01,1.0156296102742821,2,0.02059409907540033,0.6230426730851394,-0.13457337996050003
2015.0,11.0,Asia,Model 3,-0.5603773776091764,-0.6291025910891413,0.1332476853632617,82.0,475.0,549.84,Interpolated (Month),9961.0,2015-11-01,0.8907567470657153,4,-0.06872521347996496,-1.3382276621647486,-0.07466898849635722
2020.0,6.0,Europe,Cybertruck,-0.384274715996301,-0.3436427677163993,-0.5512940108106129,100.0,592.0,746.81,Official (Quarter),8216.0,2020-06-01,1.1182389158075758,2,0.040631948279901686,-0.5603773776091764,0.21184834943470995
2022.0,4.0,Europe,Model S,1.3271992031418172,1.1982158835271606,-0.7412470499864042,100.0,563.0,1279.0,Interpolated (Month),13264.0,2022-04-01,1.1076461440612617,2,-0.1289833196146566,-0.384274715996301,-0.9837824940731784
2021.0,3.0,Middle East,Model Y,-0.5418268807870409,-0.5746398616298681,-1.7056006193927993,82.0,485.0,566.72,Interpolated (Month),3383.0,2021-03-01,0.9428981819156109,1,-0.032812980842827244,1.3271992031418172,0.9241402634740453
